latitude,longitude,year,month,country,basisOfRecord
37.70064,-25.43743,1991,,Portugal,HUMAN_OBSERVATION
37.70071,-25.4431,1991,,Portugal,HUMAN_OBSERVATION
37.70514,-25.43733,1991,,Portugal,HUMAN_OBSERVATION
37.70522,-25.443,1991,,Portugal,HUMAN_OBSERVATION
37.70972,-25.44291,1991,,Portugal,HUMAN_OBSERVATION
37.71393,-25.42013,1991,,Portugal,HUMAN_OBSERVATION
37.714,-25.4258,1991,,Portugal,HUMAN_OBSERVATION
37.71408,-25.43147,1991,,Portugal,HUMAN_OBSERVATION
37.71415,-25.43714,1991,,Portugal,HUMAN_OBSERVATION
37.71423,-25.44281,1991,,Portugal,HUMAN_OBSERVATION
37.7143,-25.44848,1991,,Portugal,HUMAN_OBSERVATION
37.71453,-25.4655,1991,,Portugal,HUMAN_OBSERVATION
37.7146,-25.47117,1991,,Portugal,HUMAN_OBSERVATION
37.71851,-25.4257,1991,,Portugal,HUMAN_OBSERVATION
37.71858,-25.43138,1991,,Portugal,HUMAN_OBSERVATION
38.5,-8.84,2010,2,Portugal,MATERIAL_SAMPLE
42.2284,-8.7787,2018,,Spain,OCCURRENCE
43.05096,3.01587,2009,5,France,HUMAN_OBSERVATION
43.05096,3.01587,2009,5,France,HUMAN_OBSERVATION
43.05222,3.1049,2007,5,France,HUMAN_OBSERVATION
43.07779,3.00553,2009,5,France,HUMAN_OBSERVATION
43.07779,3.00553,2009,5,France,HUMAN_OBSERVATION
43.07779,3.00553,2009,5,France,HUMAN_OBSERVATION
43.35156,4.8106,2009,5,France,HUMAN_OBSERVATION
43.36345,-1.78225,2008,10,France,HUMAN_OBSERVATION
43.36345,-1.78225,2006,10,France,HUMAN_OBSERVATION
43.42445,-1.67256,,,France,HUMAN_OBSERVATION
43.42586,-1.66948,,,France,HUMAN_OBSERVATION
43.44014,-1.65372,,,France,HUMAN_OBSERVATION
43.4604,5.20467,2009,4,France,HUMAN_OBSERVATION
43.4604,5.20467,2009,4,France,HUMAN_OBSERVATION
43.4604,5.20467,2009,4,France,HUMAN_OBSERVATION
44.6775,-1.10333,2016,4,France,HUMAN_OBSERVATION
44.6775,-1.10333,2015,3,France,HUMAN_OBSERVATION
44.6775,-1.10333,2008,3,France,HUMAN_OBSERVATION
44.68583,-1.19316,2008,3,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.43244,1.01218,2012,10,France,HUMAN_OBSERVATION
45.57647,1.1289,2012,4,France,HUMAN_OBSERVATION
45.78722,-1.12802,2006,10,France,HUMAN_OBSERVATION
47.03741,-2.19113,2006,12,France,HUMAN_OBSERVATION
47.05026,-2.23559,2006,12,France,HUMAN_OBSERVATION
47.05335,-2.19184,2006,12,France,HUMAN_OBSERVATION
47.05335,-2.19184,2006,12,France,HUMAN_OBSERVATION
47.07561,-2.19121,2006,12,France,HUMAN_OBSERVATION
47.07561,-2.19121,2006,12,France,HUMAN_OBSERVATION
47.33117,-3.13018,2013,2,France,HUMAN_OBSERVATION
47.33117,-3.13018,2013,2,France,HUMAN_OBSERVATION
47.33117,-3.13018,2013,2,France,HUMAN_OBSERVATION
47.33117,-3.13018,2013,2,France,HUMAN_OBSERVATION
47.33117,-3.13018,2012,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2012,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2012,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2011,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2008,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2008,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2008,3,France,HUMAN_OBSERVATION
47.33117,-3.13018,2006,9,France,HUMAN_OBSERVATION
47.33117,-3.13018,2006,9,France,HUMAN_OBSERVATION
47.33117,-3.13018,2006,9,France,HUMAN_OBSERVATION
47.33117,3.13018,2016,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2015,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2014,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2014,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2013,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2013,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2013,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2013,2,France,HUMAN_OBSERVATION
47.33133,-3.13253,2012,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2012,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2011,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2011,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2010,4,France,HUMAN_OBSERVATION
47.33133,-3.13253,2008,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2008,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2008,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2007,3,France,HUMAN_OBSERVATION
47.33133,-3.13253,2006,9,France,HUMAN_OBSERVATION
47.33133,3.13253,2016,2,France,HUMAN_OBSERVATION
47.33133,3.13253,2016,2,France,HUMAN_OBSERVATION
47.33133,3.13253,2016,2,France,HUMAN_OBSERVATION
47.33152,-3.13542,2013,2,France,HUMAN_OBSERVATION
47.33152,-3.13542,2013,2,France,HUMAN_OBSERVATION
47.33152,-3.13542,2012,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2012,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2012,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2012,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2011,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2010,4,France,HUMAN_OBSERVATION
47.33152,-3.13542,2009,2,France,HUMAN_OBSERVATION
47.33152,-3.13542,2008,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2008,3,France,HUMAN_OBSERVATION
47.33152,-3.13542,2008,3,France,HUMAN_OBSERVATION
47.33152,3.13542,2016,2,France,HUMAN_OBSERVATION
47.33152,3.13542,2016,2,France,HUMAN_OBSERVATION
47.4821,-3.05063,2006,3,France,HUMAN_OBSERVATION
47.4821,-3.05063,2006,3,France,HUMAN_OBSERVATION
47.4821,-3.05063,2006,3,France,HUMAN_OBSERVATION
47.48307,-3.05637,2014,2,France,HUMAN_OBSERVATION
47.48307,-3.05637,2006,3,France,HUMAN_OBSERVATION
47.48338,-3.05987,2006,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2015,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2015,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2013,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2012,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2012,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2012,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2012,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2012,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2011,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2011,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2010,4,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2009,2,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,-2.93448,2008,3,France,HUMAN_OBSERVATION
47.5258,2.93448,2016,2,France,HUMAN_OBSERVATION
47.5258,2.93448,2016,2,France,HUMAN_OBSERVATION
47.5258,2.93448,2016,2,France,HUMAN_OBSERVATION
47.526,-2.8982,2006,3,France,HUMAN_OBSERVATION
47.52915,-2.86983,2010,4,France,HUMAN_OBSERVATION
47.52915,-2.86983,2008,9,France,HUMAN_OBSERVATION
47.52915,-2.86983,2006,3,France,HUMAN_OBSERVATION
47.52915,-2.86983,2006,3,France,HUMAN_OBSERVATION
47.52915,-2.86983,2006,11,France,HUMAN_OBSERVATION
47.52915,-2.86983,2006,11,France,HUMAN_OBSERVATION
47.52915,-2.86983,2006,11,France,HUMAN_OBSERVATION
47.55997,-2.8861,2006,3,France,HUMAN_OBSERVATION
47.56035,-2.89267,2006,3,France,HUMAN_OBSERVATION
47.56035,-2.89267,2006,3,France,HUMAN_OBSERVATION
47.56035,-2.89267,2006,11,France,HUMAN_OBSERVATION
47.64054,-3.41999,2010,8,France,HUMAN_OBSERVATION
47.6451,-3.28108,2015,3,France,HUMAN_OBSERVATION
47.64542,-3.40156,2010,8,France,HUMAN_OBSERVATION
47.70142,-3.33045,2011,4,France,HUMAN_OBSERVATION
47.70142,-3.33045,2010,4,France,HUMAN_OBSERVATION
47.70142,-3.33045,2008,5,France,HUMAN_OBSERVATION
47.70142,-3.33045,2008,5,France,HUMAN_OBSERVATION
47.70142,-3.33045,2008,5,France,HUMAN_OBSERVATION
47.70142,-3.33045,2007,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2007,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2007,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2006,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2006,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2006,3,France,HUMAN_OBSERVATION
47.70142,-3.33045,2006,11,France,HUMAN_OBSERVATION
47.70142,-3.33045,2006,11,France,HUMAN_OBSERVATION
47.70265,-3.33512,2010,4,France,HUMAN_OBSERVATION
47.70265,-3.33512,2008,5,France,HUMAN_OBSERVATION
47.70265,-3.33512,2008,5,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,3,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,3,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,3,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,11,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,11,France,HUMAN_OBSERVATION
47.70265,-3.33512,2006,11,France,HUMAN_OBSERVATION
47.70352,-3.32937,2008,5,France,HUMAN_OBSERVATION
47.70352,-3.32937,2008,5,France,HUMAN_OBSERVATION
47.70352,-3.32937,2008,5,France,HUMAN_OBSERVATION
47.70352,-3.32937,2006,3,France,HUMAN_OBSERVATION
47.70352,-3.32937,2006,3,France,HUMAN_OBSERVATION
47.70352,-3.32937,2006,3,France,HUMAN_OBSERVATION
47.70352,-3.32937,2006,11,France,HUMAN_OBSERVATION
47.72847,-3.96793,2009,2,France,HUMAN_OBSERVATION
47.72847,-3.96793,2009,2,France,HUMAN_OBSERVATION
47.72847,-3.96793,2008,3,France,HUMAN_OBSERVATION
47.72847,3.96793,2016,2,France,HUMAN_OBSERVATION
47.73497,-4.00032,2012,3,France,HUMAN_OBSERVATION
47.73497,-4.00032,2012,3,France,HUMAN_OBSERVATION
47.73497,-4.00032,2011,3,France,HUMAN_OBSERVATION
47.73497,-4.00032,2011,3,France,HUMAN_OBSERVATION
47.73497,-4.00032,2009,2,France,HUMAN_OBSERVATION
47.75657,-4.20617,2011,5,France,HUMAN_OBSERVATION
47.7702,-4.16643,2011,5,France,HUMAN_OBSERVATION
47.78647,-4.38135,2011,5,France,HUMAN_OBSERVATION
47.79158,-3.88577,2012,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2012,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2011,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2010,4,France,HUMAN_OBSERVATION
47.79158,-3.88577,2009,2,France,HUMAN_OBSERVATION
47.79158,-3.88577,2009,2,France,HUMAN_OBSERVATION
47.79158,-3.88577,2009,2,France,HUMAN_OBSERVATION
47.79158,-3.88577,2007,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2006,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2006,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2006,3,France,HUMAN_OBSERVATION
47.79158,-3.88577,2006,9,France,HUMAN_OBSERVATION
47.79158,-3.88577,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88413,2015,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2015,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2015,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2015,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2014,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2011,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2011,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2010,4,France,HUMAN_OBSERVATION
47.79177,-3.88413,2009,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2009,2,France,HUMAN_OBSERVATION
47.79177,-3.88413,2008,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2008,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2006,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2006,3,France,HUMAN_OBSERVATION
47.79177,-3.88413,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88413,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88413,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88258,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88258,2013,2,France,HUMAN_OBSERVATION
47.79177,-3.88258,2011,3,France,HUMAN_OBSERVATION
47.79177,-3.88258,2010,4,France,HUMAN_OBSERVATION
47.79177,-3.88258,2009,2,France,HUMAN_OBSERVATION
47.79177,-3.88258,2006,3,France,HUMAN_OBSERVATION
47.79177,-3.88258,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88258,2006,9,France,HUMAN_OBSERVATION
47.79177,-3.88258,2006,9,France,HUMAN_OBSERVATION
47.79177,3.88258,2016,2,France,HUMAN_OBSERVATION
47.79177,3.88258,2016,2,France,HUMAN_OBSERVATION
47.79177,3.88413,2016,2,France,HUMAN_OBSERVATION
47.79177,3.88413,2016,2,France,HUMAN_OBSERVATION
47.79491,-3.85724,2010,8,France,HUMAN_OBSERVATION
47.79655,-3.87404,2010,8,France,HUMAN_OBSERVATION
47.81568,-4.12112,2011,5,France,HUMAN_OBSERVATION
48.31355,-4.3653,2011,3,France,HUMAN_OBSERVATION
48.31355,-4.3653,2010,4,France,HUMAN_OBSERVATION
48.31355,-4.3653,2010,4,France,HUMAN_OBSERVATION
48.31355,-4.3653,2010,4,France,HUMAN_OBSERVATION
48.31355,-4.3653,2009,2,France,HUMAN_OBSERVATION
48.31355,-4.3653,2009,2,France,HUMAN_OBSERVATION
48.31355,-4.3653,2006,9,France,HUMAN_OBSERVATION
48.31355,-4.3653,2006,9,France,HUMAN_OBSERVATION
48.31355,4.3653,2016,2,France,HUMAN_OBSERVATION
48.32039,-4.38765,2011,3,France,HUMAN_OBSERVATION
48.32039,-4.38765,2010,4,France,HUMAN_OBSERVATION
48.32039,-4.38765,2010,4,France,HUMAN_OBSERVATION
48.32039,-4.38765,2006,9,France,HUMAN_OBSERVATION
48.32195,-4.37117,2015,3,France,HUMAN_OBSERVATION
48.32195,-4.37117,2015,3,France,HUMAN_OBSERVATION
48.32195,-4.37117,2014,2,France,HUMAN_OBSERVATION
48.32195,-4.37117,2014,2,France,HUMAN_OBSERVATION
48.32195,-4.37117,2012,3,France,HUMAN_OBSERVATION
48.32195,-4.37117,2012,3,France,HUMAN_OBSERVATION
48.32195,-4.37117,2011,3,France,HUMAN_OBSERVATION
48.32195,-4.37117,2010,4,France,HUMAN_OBSERVATION
48.32195,-4.37117,2010,4,France,HUMAN_OBSERVATION
48.32813,-4.32137,2008,10,France,HUMAN_OBSERVATION
48.33093,-4.37137,2011,11,France,HUMAN_OBSERVATION
48.33093,-4.37137,2011,11,France,HUMAN_OBSERVATION
48.33093,-4.37137,2008,10,France,HUMAN_OBSERVATION
48.33093,-4.37137,2008,10,France,HUMAN_OBSERVATION
48.38678,-4.85465,2006,3,France,HUMAN_OBSERVATION
48.38768,-4.85392,2006,3,France,HUMAN_OBSERVATION
48.38768,-4.85392,2006,3,France,HUMAN_OBSERVATION
48.38768,-4.85392,2006,9,France,HUMAN_OBSERVATION
48.60557,-4.61338,2006,11,France,HUMAN_OBSERVATION
48.60584,-4.61092,2010,2,France,HUMAN_OBSERVATION
48.60584,-4.61092,2006,11,France,HUMAN_OBSERVATION
48.60727,-4.61257,2006,11,France,HUMAN_OBSERVATION
48.60727,-4.61257,2006,11,France,HUMAN_OBSERVATION
48.64195,-1.66167,2008,3,France,HUMAN_OBSERVATION
48.68044,-3.91748,2006,11,France,HUMAN_OBSERVATION
48.69127,-1.98213,2011,3,France,HUMAN_OBSERVATION
48.71232,-3.95113,2012,4,France,HUMAN_OBSERVATION
48.78729,-2.90715,2009,2,France,HUMAN_OBSERVATION
48.82348,-3.0211,2014,3,France,HUMAN_OBSERVATION
48.82348,-3.0203,2011,3,France,HUMAN_OBSERVATION
48.82348,-3.0203,2010,3,France,HUMAN_OBSERVATION
48.82348,-3.0203,2006,3,France,HUMAN_OBSERVATION
48.82348,-3.0203,2006,11,France,HUMAN_OBSERVATION
